"","p_value","morans_test_statistic","morans_I","q_value","pseudotime_module"
"29",0.140052009044187,1.08008570234819,0.00754654402168943,0.482098546152481,1
"30",0.927308997674676,-1.45603839977405,-0.0127530001498068,0.9450490027494,1
"31",0.542588512298641,-0.10695714826874,-0.00151149682491671,0.850919438863987,1
"32",0.558161935769593,-0.146310688494336,-0.00175004974336286,0.850919438863987,1
"33",NA,NA,NA,1,1
"34",0.356736318688276,0.367196248583586,0.00213134656502608,0.790097841791407,1
"35",2.27607400181478e-07,5.04428733758512,0.0407794483460224,6.44709113817501e-06,1
"36",3.14457266807203e-05,4.00169078932322,0.0321608673182297,0.000592129763840652,1
"37",0.634718805983977,-0.344377526037261,-0.00319788515611073,0.850919438863987,1
"38",0.354511698752725,0.37316801823195,0.00204528928154343,0.787611651173595,1
"39",0.838245669346509,-0.987273330330786,-0.00881541908567216,0.897484800892447,1
"40",0.208521600894791,0.81156165429944,0.0055430103414651,0.608014493188337,1
"41",0.612943322399037,-0.286998648322887,-0.00283332398016212,0.850919438863987,1
"42",NA,NA,NA,1,1
"43",NA,NA,NA,1,1
"44",1.56767999829184e-06,4.661747314455,0.0376522665306654,3.84947837855489e-05,1
"45",0.632207592165233,-0.337705916576354,-0.00316538256714348,0.850919438863987,1
"46",0.0389687507369294,1.76278059496713,0.0136675944578303,0.212370888141749,1
"47",0.0649839605378398,1.51422839980639,0.0116033340636017,0.296840319245598,1
"48",0.696335191373975,-0.51388897329225,-0.00464789219624515,0.851682244901565,1
"49",0.500000000000001,-2.36931591672895e-15,-0.000892857142857143,0.850919438863987,1
"50",0.832995411091471,-0.966069954368189,-0.00111389460263683,0.894536101828813,1
"51",NA,NA,NA,1,1
"52",0.482026697059171,0.0450676407824224,-0.000523802163925885,0.850919438863987,1
"53",0.0168331618724759,2.12404568332643,0.0166075433387374,0.115257500682642,1
"54",0.690077380373022,-0.496069695427804,-0.00100635822510823,0.851158826725576,1
"55",0.596798147587432,-0.245068096853777,-0.00231865302272761,0.850919438863987,1
"56",0.666479816006126,-0.43021346511453,-0.00444951340696516,0.850919438863987,1
"57",0.442451710115459,0.144756130329727,0.000283957739476689,0.850919438863987,1
"58",0.431181570986039,0.173366771644108,-0.000853190708101424,0.850919438863987,1
"59",0.721108653179877,-0.586138131331879,-0.00572770434719726,0.857904787444615,1
"60",0.581514463043431,-0.205769362912294,-0.00207218977595137,0.850919438863987,1
"61",0.509477821802968,-0.0237596113831561,-0.00108900077064489,0.850919438863987,1
"62",0.814559643351879,-0.894824870387943,-0.00826473542866134,0.887848570344056,1
"63",NA,NA,NA,1,1
"64",0.559447980792428,-0.149569797213614,-0.00212101961668964,0.850919438863987,1
"65",0.966842980487572,-1.83629499887327,-0.0160094161394271,0.972447093816371,1
"66",0.577959532806846,-0.196676202007364,-0.00164682339062261,0.850919438863987,1
"67",0.590261356170067,-0.228217332380627,-0.00229597990663047,0.850919438863987,1
"68",0.0297504483839991,1.88447393863019,0.0144196685312647,0.175535352835643,1
"69",NA,NA,NA,1,1
"70",NA,NA,NA,1,1
"71",NA,NA,NA,1,1
"72",NA,NA,NA,1,1
"73",0.0305258163324055,1.87312132910003,-0.000464285714285696,0.177689477257395,1
"74",NA,NA,NA,1,1
"75",0.000761978237250592,3.17008252715617,-0.000167540113871677,0.00934269413373569,1
"76",NA,NA,NA,1,1
"77",0.67699134608115,-0.459302005444871,-0.00099794575274115,0.850919438863987,1
"78",0.607617369701064,-0.273114422360783,-0.00273903185315798,0.850919438863987,1
"79",NA,NA,NA,1,1
"80",0.00719417589995543,2.44741886037411,0.0185113610579793,0.0596622143364533,1
"81",NA,NA,NA,1,1
"82",0.829867827481092,-0.953643072736328,-0.00847650284597219,0.893100520774099,1
"83",0.585815516461217,-0.216793898629643,-0.00235520646303501,0.850919438863987,1
"84",0.282034037454063,0.576809613069276,0.00376378048095935,0.704240147143115,1
"85",0.35701757210044,0.366442187928838,0.00208015148858496,0.790097841791407,1
"86",NA,NA,NA,1,1
"87",NA,NA,NA,1,1
"88",0.626087981782186,-0.321509866531674,-0.00351854034193795,0.850919438863987,1
"89",0.109204989854292,1.23076711087309,0.00923155524837102,0.412803924303984,1
"90",NA,NA,NA,1,1
"91",0.35672920294402,0.367215329112925,0.00189121740912069,0.790097841791407,1
"92",0.0812345365420707,1.39681545647025,0.0106352433442608,0.343517927062985,1
"93",0.572061409127637,-0.181624804100316,-0.0019533027419935,0.850919438863987,1
"94",0.0340784328142013,1.82396829456265,0.013911989886006,0.192709201078444,1
"95",0.00282364684238476,2.7675871926259,0.0219268843391314,0.0279147289572709,1
"96",0.445428524761237,0.137219814281574,0.000232565711580073,0.850919438863987,1
"97",0.791420634768895,-0.811360404966533,-0.00757575797400696,0.877696997108118,1
"98",0.968338752293743,-1.85692028997244,-0.00131772176270482,0.973253092828332,1
"99",NA,NA,NA,1,1
"100",0.164406374321248,0.976508074233949,0.00715985492056197,0.532909471647953,1
"101",NA,NA,NA,1,1
"102",0.66764913039298,-0.433430923320233,-0.00446645931860635,0.850919438863987,1
"103",NA,NA,NA,1,1
"104",0.300077291752482,0.52417822657018,0.00343771403409182,0.726159505297319,1
"105",0.5,4.73863183345986e-16,-0.000892857142857143,0.850919438863987,1
"106",NA,NA,NA,1,1
"107",NA,NA,NA,1,1
"108",0.507974962457852,-0.0199915979597765,-0.00105396560572924,0.850919438863987,1
"109",NA,NA,NA,1,1
"110",0.0533032973436094,1.61363511868565,0.0123307087657103,0.263909260217544,1
"111",0.436632218560801,0.159513355181233,0.000363464391344622,0.850919438863987,1
"112",0.764794979867626,-0.721812049409896,-0.0064465257560295,0.86903722691194,1
"113",0.371069316788295,0.329022563355442,0.00181807275588616,0.805154573286023,1
"114",0.0494759684091607,1.6499559945685,0.0127062983373291,0.249986728900418,1
"115",4.39837280937653e-32,11.7314227841757,0.0961746895431117,7.70561082565772e-30,1
"116",0.546981482104129,-0.118038647315982,-0.00179233311103881,0.850919438863987,1
"117",0.860891314959645,-1.08433256811297,-0.00937379761829094,0.909131793477074,1
"118",0.423478883407896,0.193001533876194,0.000670150606189207,0.850919438863987,1
"119",NA,NA,NA,1,1
"120",0.626319150849157,-0.322120117518363,-0.00350969567368261,0.850919438863987,1
"121",0.027917518596153,1.91232097423164,0.0148916993442249,0.168115756131253,1
"122",0.0913585494550948,1.33243557391748,0.0100423993352562,0.368953057522803,1
"123",0.657180632087032,-0.404780673911481,-0.00370808192956017,0.850919438863987,1
"124",NA,NA,NA,1,1
"125",0.562908377107067,-0.158347163527101,-0.0018162007249013,0.850919438863987,1
"126",0.224710224040711,0.756381580915323,0.00529621126029772,0.627755333030013,1
"127",0.580540206460665,-0.203275649496442,-0.00205370187383185,0.850919438863987,1
"128",0.127227110260958,1.13959703659062,0.00850047435416428,0.451677346436363,1
"129",0.184048389079927,0.900044108043536,0.00652019374825709,0.565825385208957,1
"130",NA,NA,NA,1,1
"131",NA,NA,NA,1,1
"132",0.0146026848257389,2.18070328864493,0.0170763314675108,0.103084431431601,1
"133",NA,NA,NA,1,1
"134",0.460619138538495,0.0988740448964417,-7.8036948996997e-05,0.850919438863987,1
"135",0.121900178489416,1.16554030090391,0.00868508675088439,0.439719115437964,1
"136",0.630335387819015,-0.332741759614782,-0.00348989743499097,0.850919438863987,1
"137",0.700319574382135,-0.525319863464938,-0.00474969685034366,0.852105666367925,1
"138",0.398466651792607,0.257317993003733,0.0012271407333826,0.832108637386034,1
"139",0.225815807565652,0.752697662142842,0.00531807299111087,0.629300093888985,1
"140",0.449202905030763,0.127675461452172,0.000127036619801315,0.850919438863987,1
"141",0.983248602302747,-2.12600557429821,-0.0182938381657435,0.984599589665076,1
"142",0.000898534778687181,3.12186888183386,-0.000178571428571406,0.0106653444089123,1
"143",0.747416113824917,-0.666380736181423,-0.00590253396844968,0.861928330377441,1
"144",0.991098922866068,-2.36970767410834,-0.0200338891477486,0.991425407632577,1
"145",0.645008972737709,-0.37188019084284,-0.00390539453544912,0.850919438863987,1
"146",0.67847861446094,-0.463448709614284,-0.00429518690538882,0.850919438863987,1
"147",0.601884899907251,-0.258228971172987,-0.00256667861977702,0.850919438863987,1
"148",0.431612431764243,0.172270514850259,0.00053118096203441,0.850919438863987,1
"149",0.546337555176132,-0.116413433170645,-0.00185001870352087,0.850919438863987,1
"150",0.308079827699922,0.50130049723562,0.00293461619649872,0.735676862476092,1
"151",0.617448442369727,-0.298786286214485,-0.00300857229618793,0.850919438863987,1
"152",0.451050214961497,0.12300842061574,-0.000864712732919255,0.850919438863987,1
"153",0.000832842213864172,3.14415279580323,0.0250669680951047,0.0100426109441464,1
"154",0.52280798278974,-0.0572023145708038,-0.00134049272557924,0.850919438863987,1
"155",NA,NA,NA,1,1
"156",0.528849262918675,-0.0723775201827311,-0.0012703613676249,0.850919438863987,1
"157",NA,NA,NA,1,1
"158",0.154039719389838,1.01926023114527,0.00750221123552139,0.512538977951157,1
"159",0.508009120423915,-0.0200772364683164,-0.00089745082815735,0.850919438863987,1
"160",0.530801778478781,-0.0772854782345558,-0.00152350535561033,0.850919438863987,1
"161",0.560135801792988,-0.151313530454592,-0.0021353049906275,0.850919438863987,1
"162",4.24333267052244e-44,13.8790454115308,0.113918343309539,1.1714169887412e-41,1
"163",0.45913025254467,0.102625120167728,-9.31390352655967e-05,0.850919438863987,1
"164",0.0786022338878879,1.41453639960864,0.0107570220682455,0.336893131366106,1
"165",0.549746632193129,-0.125021239448527,-0.00161584568788162,0.850919438863987,1
"166",0.571310355062287,-0.179711213243396,-0.00192828076608761,0.850919438863987,1
"167",0.467950063172117,0.0804238907880788,-0.00023250560041734,0.850919438863987,1
"168",0.460410871512553,0.0993986645800506,-7.71535550343753e-05,0.850919438863987,1
"169",NA,NA,NA,1,1
"170",NA,NA,NA,1,1
"171",0.594722029886354,-0.239708893100051,-0.00286241060161011,0.850919438863987,1
"172",0.0577832628484914,1.57365804712801,0.0121110328291207,0.27933431920921,1
"173",0.491630796361224,0.020980021474413,-0.000720008442028304,0.850919438863987,1
"174",NA,NA,NA,1,1
"175",0.530185114325556,-0.0757351993763143,-0.00150752231469728,0.850919438863987,1
"176",NA,NA,NA,1,1
"177",NA,NA,NA,1,1
"178",NA,NA,NA,1,1
"179",0.966133979448423,-1.82678540537926,-0.0158353263071955,0.971894937364746,1
"180",0.00023718911697266,3.49482187366474,0.0270231021304213,0.00351920660524582,1
"181",0.499999999999999,1.42158955003796e-15,-0.000892857142857143,0.850919438863987,1
"182",0.0694521106688178,1.47988394371637,0.0111942387137171,0.309856714136788,1
"183",0.00507234263656046,2.57085820833319,0.0179196688833999,0.0449285769752706,1
"184",0.0018289859187074,2.90624305804103,0.0231443939660397,0.0193857611627975,1
"185",5.49751244779646e-05,3.86751459693999,0.0310307677417985,0.000959431770103942,1
"186",0.0935689415978327,1.31909341849579,0.00983495430139248,0.375347009227766,1
"187",0.503320523932617,-0.00832341528173832,-0.000957457293630233,0.850919438863987,1
"188",0.183274899551952,0.9029549610196,0.00653999791250649,0.564160951146573,1
"189",0.13040782082969,1.12446539823052,0.00812658918573781,0.45842764721531,1
"190",NA,NA,NA,1,1
"191",NA,NA,NA,1,1
"192",NA,NA,NA,1,1
"193",4.00328796480607e-26,10.5071631949838,0.0859946973732282,5.36322843520343e-24,1
"194",1.49516546830912e-06,4.67148283398357,0.0328517727752119,3.68632135759027e-05,1
"195",0.841399486109541,-1.00022625147862,-0.00890520008930595,0.899454273463731,1
"196",0.894137008515181,-1.24883348743392,-0.0109307948723202,0.925792822364415,1
"197",0.00192863561117062,2.88960422026515,0.0229395399583331,0.0203119889222709,1
"198",0.263465313811516,0.632698380542416,0.00414393490428886,0.684255265391477,1
"199",0.646049999988382,-0.374677940530375,-0.00363120689851767,0.850919438863987,1
"200",0.0548289628398029,1.59973255887489,-0.000526837250051531,0.269580072304537,1
"201",0.583905800012563,-0.21189570686678,-0.00211107239357921,0.850919438863987,1
"202",NA,NA,NA,1,1
"203",0.969474183667622,-1.87312132910043,-0.00132142857142857,0.974018176257186,1
"204",0.745735028820213,-0.661128448782016,-0.00594899720618705,0.861257370313444,1
"205",0.119602222272325,1.17697760613191,-0.000623563869527739,0.434613579936529,1
"206",NA,NA,NA,1,1
"207",NA,NA,NA,1,1
"208",0.80998306245921,-0.877833880739955,-0.00775503092901763,0.885632697661273,1
"209",0.563795298729877,-0.160598796890415,-0.00178349357720991,0.850919438863987,1
"210",0.324026112678195,0.456469740742221,0.00270795919939025,0.751696395935907,1
"211",0.175819404039459,0.931415244741252,-0.000679748704108183,0.551394095944966,1
"212",NA,NA,NA,1,1
"213",0.240200304082194,0.705658382074589,0.00491284176209532,0.650676410998747,1
"214",0.248459746498626,0.679344679486337,0.00434924746184493,0.663299154240038,1
"215",0.347514732668882,0.392038908601099,0.00232952164255154,0.779096644423161,1
"216",NA,NA,NA,1,1
"217",NA,NA,NA,1,1
"218",0.471538387489771,0.0714033104490711,-0.0003247807601632,0.850919438863987,1
"219",0.7727450937584,-0.747917680298918,-0.00660519904340305,0.872347013090255,1
"220",0.570470455592559,-0.177572034352707,-0.00227751132489353,0.850919438863987,1
"221",0.572459369172762,-0.18263902519545,-0.00190323989893582,0.850919438863987,1
"222",0.978781790247476,-2.02921477319208,-0.00135714285714285,0.980611691317993,1
"223",0.686015400877081,-0.484587195697891,-0.00100373102139407,0.850982595169624,1
"224",0.252142565107365,0.667762620845123,0.00457035651129639,0.66861265263516,1
"225",1.46353016642037e-11,6.65019445993113,0.0540042915654109,7.18747159897013e-10,1
