"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18"
"Desi2",1,0.857054006379181,0.817356898059078,0.658507811953998,0.0209157873860904,0.671352869620028,0.723750649176487,0.677927152456857,0.668389697596719,0.634860164501527,0.668533797289053,0.615235344870342,0.691913704538661,0.700031093671039,0.77454436018848,0.767704893207356,0.477625891713738,0.573617322615617,0
"Hnrnpu",1,0.859942741178616,0.824733579231804,0.734124326487592,0.0188743482986804,0.702243798198094,0.747900282747143,0.683637011414895,0.681065061289462,0.650809571618061,0.692931418759872,0.665037154291211,0.755261242079715,0.71645793526323,0.707104050875747,0.561296853837237,0.42591595923097,0.539484031789068,0
"Wdr26",1,0.852740771983013,0.805026768073764,0.580196875154057,0.0192816123182118,0.648679057054625,0.700886937275336,0.669840955922245,0.649250965163515,0.616200597382623,0.648207258057783,0.64291697928637,0.777790798866734,0.794492360893016,0.713948762988907,0.448851089199411,0.418295435448949,0.524530836909912,0
"1700080N15Rik",1,0.0691789052423689,0.0518569562301011,0.0025729771167096,0,0.0246176330613116,0.0228780335852291,0.0188154802975728,0.0139313646476258,0.00842259125274895,0.0045766680895065,0.00294390676583891,0.00253622959849379,0.00227048596540187,0.00166690547547032,0.000857909362596765,0.000437415622141035,0.00100054380319191,0.00214447301805968
"Gm13175",1,0.0691789052423689,0.0518569562301011,0.0025729771167096,0,0.0246176330613116,0.0228780335852291,0.0188154802975728,0.0139313646476258,0.00842259125274895,0.0045766680895065,0.00294390676583891,0.00253622959849379,0.00227048596540187,0.00166690547547032,0.000857909362596765,0.000437415622141035,0.00100054380319191,0.00214447301805968
"Camk1d",1,0.868581659384357,0.848515127087921,0.879868040492795,0.0863928776000978,0.754510100176015,0.812245914713172,0.728759780775561,0.72577182559538,0.710946604102446,0.754162170093558,0.683957250374962,0.731061238322161,0.731043065802326,0.771533711559135,0.776902997422081,0.663781824164908,0.703464676857603,0
"Nudt5",1,0.81134184387857,0.700751018553073,0.329188692713833,0.0102044483931196,0.649487219154481,0.689932946695676,0.716617302698481,0.900717634801155,0.686532295250097,0.527453134269314,0.359658239954849,0.307753475024638,0.318403012274536,0.344173448316106,0.347456639726798,0.311347212641125,0.449809874477218,0
"8030442B05Rik",1,0.862704779843669,0.833775474203015,0.901271651607343,0.682340508110733,0.712650208546001,0.806639186619945,0.747847228151438,0.704131587013218,0.668207638939739,0.692313299159825,0.64460938904169,0.573920628934567,0.475748671606399,0.48850054397642,0.47765261512431,0.396546104280815,0.476444776191112,0
"Cacnb2",1,0.855256925629738,0.833132580310855,0.884701780796815,0.0996330084085001,0.747355415478191,0.787400916109479,0.710871451175953,0.720882524069677,0.67178170102889,0.71894492811157,0.662838797943527,0.621376604105543,0.49544534131089,0.496701046653189,0.446018067313613,0.384614132803442,0.471381784138624,0
"Gm13269",1,0.84822386128478,0.674584251885774,0.253712883544757,0.0137037729960503,0.743211722914572,0.669973603960819,0.548330739713797,0.298859761494271,0.308161553516509,0.299359309572721,0.263880132820928,0.25393234571404,0.255726537893091,0.264940615562698,0.261977956408153,0.239378872379848,0.380537478141526,0
"Malrd1",1,0.0691789052423689,0.0518569562301011,0.0025729771167096,0,0.0246176330613116,0.0228780335852291,0.0188154802975728,0.0139313646476258,0.00842259125274895,0.0045766680895065,0.00294390676583891,0.00253622959849379,0.00227048596540187,0.00166690547547032,0.000857909362596765,0.000437415622141035,0.00100054380319191,0.00214447301805968
"Pip4k2a",1,0.879615515005297,0.868848452789562,0.915176851389479,0.217243652240159,0.790262441320467,0.860364790991529,0.774844981395616,0.761500184919658,0.760844292612134,0.804570242736072,0.741624388032108,0.767205355289433,0.756929185601016,0.793440748135245,0.80099448561922,0.657142978845615,0.715412071565793,0
"Acbd5",1,0.837416622178464,0.766082992179193,0.4353038406358,0.00814483722268371,0.601246702369162,0.668735455733761,0.656220156790712,0.612104507926518,0.599179731195688,0.737945656724177,0.968329261017855,0.669780277372338,0.42839354157126,0.36918036663339,0.384217076464855,0.378721303528184,0.489153596843477,0
"Vav2",1,0.856345070529021,0.818929714439138,0.669320679690074,0.0269728601995379,0.671884873481569,0.726562383853072,0.679242011410338,0.671671162499153,0.636646158944462,0.676868830672281,0.608498183136441,0.663202543977476,0.658560025240534,0.72102712861859,0.808654762378237,0.650497358219267,0.626291261583244,0
"1700007K13Rik",1,0.0691789052423689,0.0518569562301011,0.0025729771167096,0,0.0246176330613116,0.0228780335852291,0.0188154802975728,0.0139313646476258,0.00842259125274895,0.0045766680895065,0.00294390676583891,0.00253622959849379,0.00227048596540187,0.00166690547547032,0.000857909362596765,0.000437415622141035,0.00100054380319191,0.00214447301805968
"Phyhd1",1,0.843456127623753,0.823850915207552,0.903118065690729,0.0337717960885653,0.739578352719662,0.790882385200886,0.716158271729687,0.683608588070574,0.576041758429319,0.610941666711648,0.501988870425719,0.40630263030967,0.357748569819706,0.393925807173547,0.394135530220469,0.351041054315412,0.431881933192097,0
"Ptpa",1,0.853238064993155,0.808039566458803,0.589742702332035,0.0279346597880373,0.646933673881236,0.700425494753941,0.668978486801432,0.651019249109276,0.617422339175464,0.647151955161622,0.611030521863559,0.702682833024704,0.735917108423485,0.846213587790417,0.635492086724352,0.427691867952615,0.545693456295359,0
"Fnbp1",1,0.882595548700487,0.873247307476748,0.915746831016271,0.157141447683677,0.795875562966379,0.861382321451531,0.773002609957096,0.767327322153464,0.771133254425016,0.81642184825326,0.74435868548133,0.773105508730444,0.775906858829109,0.816238280179559,0.845277109991343,0.726209813230703,0.850349910392051,0
"Ptgs1",1,0.880955162191255,0.840488769356589,0.808338166187558,0.966603276325163,0.682353835988212,0.793704456145517,0.74799908658614,0.706843098051813,0.70731508148754,0.715955624839375,0.688030866659047,0.62275506043808,0.531374860212915,0.527774204893764,0.529376057980368,0.415375164684201,0.508401907510258,0
"Rc3h2",1,0.844992889410342,0.80053624984652,0.525128756502498,0.0558729084202679,0.608110855776519,0.670048636605955,0.6465429775782,0.617587621719739,0.590710017633572,0.612396599419859,0.577038475240901,0.644417093114963,0.682934136995461,0.936084739232616,0.846548125178844,0.372770325450005,0.53486467775084,0
"Rabgap1",1,0.856587075207233,0.826097951977175,0.784564941069671,0.0370032783769793,0.723609369215491,0.759421382691698,0.688964332308918,0.700166282603013,0.668752524279953,0.723623091769213,0.699005160204366,0.707274806900847,0.561402904136436,0.515110631257554,0.444122258907379,0.394837265501655,0.487501783711127,0
"Dennd1a",1,0.893090440213714,0.869542140761762,0.842142403616495,0.748958897300306,0.75532612665517,0.86965315480783,0.812881379023516,0.765489696134718,0.792242570292695,0.812626461938927,0.793604219562577,0.749270976526435,0.714331747835533,0.711698477361909,0.749307204590715,0.530382583064559,0.630960585624987,0
"Nr5a1",1,0.0691789052423689,0.0518569562301011,0.0025729771167096,0,0.0246176330613116,0.0228780335852291,0.0188154802975728,0.0139313646476258,0.00842259125274895,0.0045766680895065,0.00294390676583891,0.00253622959849379,0.00227048596540187,0.00166690547547032,0.000857909362596765,0.000437415622141035,0.00100054380319191,0.00214447301805968
"Golga1",1,0.839659829451567,0.766760210717947,0.471565362548872,0,0.701570832103963,0.727108670492818,0.755486862763925,0.736738620382031,0.591225649298368,0.501479487247932,0.364436270529748,0.31069868208595,0.319088982962734,0.346612656626178,0.354909820617686,0.322576101025356,0.436413436909631,0.0127567229202355
"Zeb2",1,0.899750946247492,0.895629664017177,0.915892844440213,0.373988626796444,0.818195390451966,0.898465995407777,0.817448791470982,0.789992337771954,0.817626721585569,0.850489184933486,0.802563227593444,0.802863778677826,0.79537285879229,0.828836995274109,0.853613642710546,0.709920093552886,0.78591539222593,0
"Acvr2a",1,0.820614251155671,0.720585373170308,0.353888138057313,0,0.642951557035754,0.688626180998464,0.686888296964296,0.808906704207956,0.797909582269109,0.623643495121495,0.407091505209042,0.312931373123552,0.319412211520245,0.349696776360327,0.358209865657109,0.321367973969111,0.454912817614185,8.319916583352e-05
"Mbd5",1,0.846856112159462,0.809367857669951,0.682337095939769,0,0.723962729226639,0.753662020470984,0.72511494712647,0.716327476372481,0.625589802547823,0.596987696514899,0.454790082265382,0.356814566014926,0.340801873668187,0.376751685151412,0.383582301871163,0.346559183940244,0.438619019472804,0.0104758984880318
"Dlx1as",1,0.674169850212538,0.511487690553392,0,0.0121489160221651,0.061817993014991,0.126277665622547,0.126474782778448,0.122265753083151,0.111198465077673,0.0957941100375894,0.0789020282930639,0.060885062520109,0.0442501656045422,0.0331096930727501,0.03181947065356,0.0429600285815322,0.0573596463254579,0.0462323817361823
"Agps",1,0.844252177816343,0.79316285701497,0.503373073651061,0.0424387146246444,0.60125355443272,0.663389361078885,0.646835518652823,0.613595791511689,0.58734421925356,0.59935498091961,0.596850125582519,0.757038377208738,0.918743790952235,0.780955680023371,0.421645580842969,0.406892895414197,0.521566848627021,0
"Ptprj",1,0.867360966315228,0.852094579469753,0.92187138034506,0.217096719155804,0.774374603821031,0.830148926100753,0.747424804737667,0.741122028817538,0.71728658868958,0.759957303907246,0.703649507105129,0.723402284454815,0.661198054501209,0.671086309658713,0.633124472778335,0.437604720837799,0.555609600739929,0
"Fnbp4",1,0.828255247526425,0.728032641076026,0.376527714425987,0,0.699408468357557,0.726488469734684,0.793191420691757,0.676932216680651,0.490014189862174,0.413981592729313,0.313995145312377,0.289402880569953,0.299070938144454,0.320624815558208,0.325418807167682,0.294354556667231,0.421602506473763,0.00195718677791442
"Ambra1",1,0.839582893877226,0.773492239282714,0.451977870676219,0.0165032100238974,0.596618738699368,0.663831749884812,0.653287600526425,0.608992043822566,0.580605127077778,0.644367086609854,0.901711531489589,0.866609118687161,0.505520892503483,0.39123857970875,0.386257810563105,0.391010617562919,0.496417506240708,0
"Trim44",1,0.857989598185079,0.819472016004992,0.677153570607871,0.0186608992719964,0.677947522604979,0.729820783289374,0.67988792543229,0.671924474761367,0.638934223678924,0.672965115833134,0.619822366585049,0.698560019913949,0.704904516789362,0.767895547341408,0.753670812511188,0.478785938618807,0.575637938955139,0
"Slc12a6",1,0.892969793928349,0.883841799070273,0.88952241635278,0.515699145705388,0.791720079493505,0.889071661140151,0.817561872747122,0.775557047178242,0.802100661502149,0.832301634676148,0.799258601928791,0.776088167206775,0.756887160854096,0.776026190145647,0.801138283928657,0.624915004117065,0.692340859116501,0
"Spred1",1,0.844333832293065,0.80706547224824,0.546448117346294,0.0774808854903253,0.618098221800064,0.683286142333394,0.652128685749983,0.628242119280159,0.586476724554534,0.624038004811112,0.581303188343045,0.602159047511626,0.629673027129334,0.65779744741401,0.965100569375992,0.797506750692422,0.600665208486805,0
"Gm13986",1,0.699448100747504,0.274481684512471,0.00141842050957631,0.0261659803312501,0.016118582294442,0.0434485795483781,0.0560650584229145,0.0525055530610488,0.0405732611376721,0.0255620629384833,0.0141761348095277,0.00758298177036086,0.00379530937631859,0.00134497548853674,0,0.000365221074388008,0.00235051148824206,0.00366640144853521
"Usp8",1,0.846336858326003,0.787419561655853,0.512603404790176,0.00223989788436409,0.640011055714684,0.692085820906865,0.666210623717839,0.637778127703659,0.617271307458235,0.705713742620711,0.832030566910325,0.787776870661009,0.49622405368832,0.392563929149516,0.39298412262517,0.392054340512778,0.487151298561405,0
"Mertk",1,0.855488495257694,0.83253903569682,0.874247429663056,0.0905308622271646,0.745141233072057,0.784142503505645,0.708067082128171,0.719394764602434,0.672832290383455,0.720525195255734,0.667601196976846,0.630910922638867,0.502284346373877,0.499299680922422,0.44625335237992,0.385586794364475,0.473194067248138,0
"Ptpra",1,0.855458828306865,0.815088420850428,0.637298776926218,0.0275332766203786,0.662043197881598,0.715897073616005,0.674866584056122,0.663826952349212,0.629067616871997,0.664609044657606,0.60624479025139,0.670825349688481,0.672239930080339,0.759346917268086,0.840942282412448,0.518326259003495,0.583818235054588,0
"A730017L22Rik",1,0.0691789052423689,0.0518569562301011,0.0025729771167096,0,0.0246176330613116,0.0228780335852291,0.0188154802975728,0.0139313646476258,0.00842259125274895,0.0045766680895065,0.00294390676583891,0.00253622959849379,0.00227048596540187,0.00166690547547032,0.000857909362596765,0.000437415622141035,0.00100054380319191,0.00214447301805968
