,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Z1,Z2
Slc40a1,0.74320036,0.4025882,0.30299032,0.4887948,-0.981487,0.18896033,0.18719311,0.062229812,-0.013661683,-0.137915,-0.07932754,-0.16343927,-0.23279448,-0.2759088,-0.30243576,-0.33241892,-0.38073435,-0.24236754,-0.9129164,0.40882325172424316,0.11780638992786407
Myo1b,0.74378365,0.42325574,0.35302722,0.14185347,-1.0355765,0.16965051,0.18431892,0.072825536,0.061012074,-0.09026916,-0.00256446,-0.07256746,-0.1546065,-0.19898129,-0.22672336,-0.25950843,-0.32335925,-0.19518748,-0.89515465,0.37571266293525696,0.3838059604167938
Ankrd44,0.6197147,0.3833564,0.32007378,0.093045995,0.7999488,0.011356309,0.0065478235,0.10941355,0.102560624,0.08933218,0.07517484,0.024926946,-0.056848466,-0.12487726,-0.1458322,-0.15316807,-0.25903904,-0.17311901,-0.944537,1.5359667539596558,-0.4339669644832611
4930444A19Rik,0.33839405,0.100550905,0.05035825,-0.14924833,0.90977424,0.015539065,-0.12742367,-0.1662404,-0.12109165,-0.07667277,-0.08421274,-0.122251675,-0.17680845,-0.22336939,-0.24505788,-0.26562044,-0.3517012,-0.2551481,-0.9407316,1.4575109481811523,-1.130615472793579
Sf3b1,0.5483019,0.34407902,0.28242755,0.13513313,0.05980219,0.6651659,0.62138426,0.5420269,0.39025927,0.2551006,0.11849378,0.021297485,-0.053777665,-0.101696625,-0.100491636,-0.09356116,-0.20571977,-0.10833556,-0.9611895,2.775805711746216,-0.9258396625518799
Plcl1,-0.26561671,-0.31674552,-0.36838388,-0.49074477,-0.57760054,-0.46770942,-0.4616062,-0.46027315,-0.45497274,-0.4677626,-0.4938469,-0.5167355,-0.54566556,-0.5944227,-0.587341,-0.6488132,-0.64821017,-0.56860834,1.0844434,-1.0073778629302979,0.7704246044158936
Clk1,0.84581274,0.5873063,0.50788337,0.5817493,-0.8587795,0.40069544,0.43866575,0.24592192,0.27244735,0.26894695,0.2647155,0.21575774,0.18744896,0.13995738,0.10127972,0.08800392,-0.01113753,0.032246426,-0.9734741,0.9835978150367737,0.8193073272705078
Cflar,0.80626893,0.5085137,0.4118665,0.6181437,-0.8263625,0.29170924,0.33868712,0.17777877,0.17449047,0.1031546,0.09147765,0.008001044,-0.059320137,-0.11511609,-0.13783899,-0.15538907,-0.26913607,-0.16481192,-0.92240196,0.7650830745697021,0.38383036851882935
Pard3b,0.74714065,0.43825668,0.37277883,-0.06824349,-1.0190529,0.11961709,0.20852478,0.09769541,0.11452709,0.05420576,0.100480855,0.080638394,0.009579405,-0.014334232,-0.02528707,-0.01791519,-0.116040945,-0.044592366,-0.92443514,0.46746358275413513,0.738754391670227
Gm28982,-0.79979926,-0.47159785,0.54580265,-0.7526809,-0.95611805,-0.937594,-0.89989823,-0.90261954,-0.9142415,-0.9240616,-0.9384397,-0.9512364,-0.9613351,-0.9714452,-0.9823096,-0.99638957,-1.0096465,-0.9988455,-0.9670121,-2.2827579975128174,-0.6284831762313843
Kansl1l,0.4754408,0.1406488,0.072198525,0.51456493,0.017981693,-0.28629273,-0.11159504,-0.08571253,-0.11355913,-0.15526241,-0.19706556,-0.2441613,-0.29926923,-0.34769076,-0.37430513,-0.3829531,-0.41641474,-0.3276822,-0.8957907,0.7087816596031189,-0.7137464284896851
Rpl37a,-0.97555816,-0.8138352,-0.5918631,-0.6114488,-0.43168586,-0.34147334,-0.3669501,-0.30911347,-0.20051166,-0.15541996,-0.17854336,-0.2141205,-0.12747607,0.14725097,0.17454334,0.012206405,0.24166168,0.21295287,0.28857797,-0.9493277668952942,3.2065062522888184
Tns1,0.46343535,0.02169761,-0.010561675,0.6307891,-0.82273173,-0.17178635,-0.18716791,-0.29235578,-0.37917662,-0.39791405,-0.3991714,-0.4180957,-0.4441253,-0.4697752,-0.48847574,-0.49462414,-0.5020072,-0.51275676,-0.70192903,0.13943246006965637,-0.7564177513122559
Dock10,0.7739757,0.593677,0.52062,0.3542356,0.6363679,0.66106516,0.6579942,0.50062466,0.42954904,0.382567,0.3531255,0.334368,0.30266148,0.24348249,0.18068804,0.12513413,-0.016937137,0.07198429,-0.98475116,2.4490339756011963,0.20686933398246765
Trip12,-0.47203904,-0.56021345,-0.61449754,-0.6999429,-0.7094682,-0.67881376,-0.64988106,-0.63678896,-0.6418618,-0.6593658,-0.67545325,-0.67748386,-0.6893852,-0.7102263,-0.6738466,-0.7498724,-0.7565874,-0.6433981,1.0662125,-1.4433952569961548,0.7781589031219482
Dis3l2,0.61565095,0.22885837,0.1371757,0.08024992,-1.0267105,0.032796487,-0.08977476,-0.20345625,-0.3485156,-0.3912881,-0.36031312,-0.39651817,-0.43832606,-0.46280855,-0.46567035,-0.4680376,-0.47644854,-0.49905574,-0.8479709,0.004536278545856476,-0.3096008896827698
Inpp5d,0.6649168,0.44489098,0.3819679,0.12971897,0.7453201,0.26096272,0.13219841,0.15602975,0.15808289,0.15002628,0.14399345,0.11188023,0.034699813,-0.048679955,-0.08161758,-0.09061697,-0.20182544,-0.12232228,-0.9461147,1.7996513843536377,-0.3134936988353729
Gm20528,0.34334737,0.0014104098,-0.2337867,-0.66238683,-0.8396734,-0.2351479,-0.25057706,-0.2819267,-0.36869198,-0.42745733,-0.4472741,-0.47449005,-0.50393665,-0.5262801,-0.5375305,-0.55185306,-0.5857222,-0.74877983,-0.77196705,-0.28465786576271057,-0.28420037031173706
