,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Z1,Z2
Apobec1,-0.82401985,-0.67081475,-0.6493008,-0.6292348,-0.60452,-0.57515293,-0.54350203,-0.51316893,-0.48869434,-0.4741254,-0.4655855,-0.44522902,-0.39002976,-0.2851044,-0.1292655,0.057898298,0.22244608,0.27786115,0.12906387,1.382224678993225,-0.22849036753177643
Cd9,-0.55736375,-0.36617038,-0.29736322,-0.22791265,-0.15728484,-0.09471894,-0.04959043,-0.023581281,-0.010677412,-0.0017468035,0.013251141,0.044570103,0.10054694,0.1829379,0.27373043,0.31637728,0.22523084,-0.08644575,-0.4672323,0.39578336477279663,-0.22919102013111115
Apoe,-0.7613201,-0.5917185,-0.5623228,-0.5319777,-0.49538603,-0.4538625,-0.41203555,-0.37729466,-0.35523263,-0.3407317,-0.31733793,-0.2678139,-0.1812657,-0.054790154,0.10048059,0.24461216,0.30094188,0.17562601,-0.17091727,0.9944818019866943,-0.15442979335784912
Axl,-0.78139836,-0.735746,-0.7335574,-0.72935045,-0.71904707,-0.70573723,-0.6880505,-0.6645283,-0.6376165,-0.6130569,-0.5963969,-0.5910863,-0.59802777,-0.60962194,-0.6010045,-0.53879,-0.40195414,-0.1948023,0.040030897,2.6911864280700684,-0.23966093361377716
Siglech,0.7704734,0.41918734,0.3036077,0.24556929,0.21801051,0.20484668,0.19644699,0.18732798,0.17386416,0.15233928,0.117474735,0.06192507,-0.02167274,-0.13369901,-0.25891602,-0.37071404,-0.45006824,-0.4953529,-0.51491076,-2.262887954711914,0.556560754776001
Anapc15,-0.6334994,-0.45101333,-0.40034795,-0.3471514,-0.287982,-0.22931339,-0.18173152,-0.15129139,-0.13363102,-0.117741995,-0.09222389,-0.04701025,0.025647216,0.12703766,0.24051929,0.31264377,0.25876623,-0.01389914,-0.40438545,0.5856513977050781,-0.12462015450000763
Pde3b,0.8964273,0.3874598,0.19685131,0.10346894,0.06585309,0.05273328,0.038974658,0.0050263926,-0.060282174,-0.15382811,-0.25654984,-0.3448011,-0.40556657,-0.43916512,-0.45203435,-0.4506196,-0.43927938,-0.42004323,-0.39248398,-3.010118007659912,0.9903514981269836
Bc1,-0.8167288,-0.6598503,-0.63715565,-0.61555755,-0.58909214,-0.5580069,-0.52485704,-0.49351522,-0.4690703,-0.4550248,-0.44469035,-0.41834134,-0.3547346,-0.24209546,-0.08217118,0.101328865,0.24909472,0.27252358,0.079021305,1.31033456325531,-0.2313176542520523
Lpl,-0.83165854,-0.7262933,-0.71297216,-0.70221865,-0.68832886,-0.67030907,-0.6471376,-0.6206898,-0.59542656,-0.5758627,-0.5653948,-0.56545204,-0.56867814,-0.5517553,-0.48537168,-0.35220152,-0.15689863,0.06245905,0.22442192,2.0623371601104736,-0.2969154119491577
Cacna1a,-0.5866576,-0.39930427,-0.33808234,-0.27510914,-0.20861346,-0.14704113,-0.10066784,-0.072764404,-0.05757343,-0.045298025,-0.025662713,0.011405647,0.07400477,0.16370656,0.26296854,0.31620482,0.2380661,-0.060797483,-0.44609648,0.4673263728618622,-0.17297959327697754
Nlrc5,-0.7216877,-0.5476711,-0.5130422,-0.47649303,-0.4330029,-0.38498935,-0.33944097,-0.30517444,-0.2847355,-0.26845646,-0.24040408,-0.18724576,-0.100603335,0.021026164,0.1639021,0.28212154,0.29470164,0.10642585,-0.27267277,0.8465180397033691,-0.1103096604347229
Zfhx3,0.7884034,0.4158118,0.28976315,0.22618866,0.19629595,0.18249151,0.17384309,0.16368093,0.14730659,0.120220706,0.07714233,0.012496144,-0.07636681,-0.1833666,-0.29143798,-0.38106525,-0.4422763,-0.47656485,-0.4905436,-2.338988780975342,0.6687745451927185
