,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Z1,Z2
Cflar,0.7549059,0.5147617,0.47664022,0.5528263,-0.7780952,0.32688147,0.39954132,0.2597946,0.27187383,0.21611372,0.29383403,0.21438627,0.25688255,0.0999496,0.084950276,-0.06665808,-0.26658326,-0.08505274,-0.9698238,-0.6708945035934448,-0.4067121744155884
Casp8,0.72556305,0.45734102,0.4291457,0.6497013,-0.88566995,0.27848554,0.38136297,0.240221,0.15554868,-0.04451949,0.043203298,-0.121797964,-0.2727753,-0.35714215,-0.30188352,-0.29965758,-0.3718552,-0.23564704,-0.9606622,-0.5153383016586304,0.04729190468788147
Gm973,-0.6105126,-0.6700117,-0.6610026,-0.8924416,-0.997744,-0.8998626,-0.8754276,-0.68921083,0.97296435,-0.93157667,-0.97623795,-0.9124052,-0.95016354,-0.9516067,-0.96103173,-0.96862227,-0.9760875,-0.9835802,-0.99050707,0.9491649866104126,0.22749587893486023
Bmpr2,0.39056605,0.15951878,0.13788071,0.31968272,0.8303169,-0.16224754,-0.019658789,-0.09083019,-0.111224085,-0.10979451,-0.11130789,-0.113906056,-0.18647502,-0.2578569,-0.2628585,-0.2709697,-0.3530876,-0.23752101,-0.9494317,-1.0247902870178223,0.4259696900844574
Fam117b,-0.57954425,-0.56007224,-0.5748471,-0.5613531,-0.5558928,-0.56631744,-0.59894085,-0.5789398,-0.5948203,-0.61192507,-0.62758106,-0.64805883,-0.6751029,-0.69987714,-0.702306,-0.69545364,-0.7255295,-0.7606436,1.0088538,0.62766432762146,-2.5104265213012695
Raph1,0.17547098,0.016966548,-0.00023306906,-0.33017623,-0.8547065,-0.3145538,-0.20064051,-0.24084337,-0.28791702,-0.28538924,-0.30233848,-0.3767199,-0.17454557,0.62716746,-0.12686257,-0.37934512,-0.54107434,-0.32010007,-0.9825857,0.09210368990898132,-0.35750389099121094
Pard3b,0.6079343,0.3630985,0.27162427,-0.13807732,-0.98723334,0.079426005,0.1431236,0.08978958,0.08177635,0.10083006,0.27225643,0.22625111,-0.1323293,-0.38548207,-0.3837602,-0.34726423,-0.39423704,-0.23285277,-0.97691983,-0.2697475254535675,-0.1340070515871048
Ino80d,0.37999856,0.16272423,0.119172335,-0.27614152,-0.8707058,-0.17411177,-0.07463978,-0.11430979,-0.15727164,-0.19729029,-0.16576616,-0.21260016,-0.21023737,-0.14166236,-0.040383883,0.7139249,-0.4044044,-0.21855278,-0.9866753,-0.10904926061630249,-0.558205783367157
Gm13748,0.8388336,0.06750971,-0.7375733,-0.9751614,-0.9875415,-1.057345,-0.99133307,-0.97727484,-0.98464495,-0.99275976,-1.0045162,-1.0144727,-1.0199938,-1.0223329,-1.0235445,-1.0246954,-1.0256603,-1.0255774,-1.0238922,0.5594139099121094,2.631958246231079
Gm28982,-0.46971357,-0.20050858,0.77859414,-0.87108636,-0.9066532,-0.8905135,-0.90531373,-0.9161308,-0.94139975,-0.9666714,-0.98583144,-0.9963899,-1.0014668,-1.0042317,-1.0059811,-1.0067266,-1.0061095,-1.0045346,-1.0011618,1.204377293586731,1.703179121017456
Plekhm3,0.09053986,-0.0062101632,0.021402933,-0.29725486,0.67087245,0.39905685,0.19582471,0.11501609,0.15369803,0.08870539,0.064358115,0.03021752,-0.01305946,-0.07809082,-0.08525124,-0.10253282,-0.25985843,-0.09894769,-0.9465298,-2.121713638305664,0.5059381723403931
Pikfyve,-0.21548401,-0.37065274,-0.30388373,-0.39925003,-0.5970736,0.31329376,0.29620963,-0.24988832,-0.39508557,-0.4380511,-0.49201888,-0.52004784,-0.5366736,-0.5458628,-0.5494699,-0.5805338,-0.5961917,-0.4733948,-0.9916702,0.46438416838645935,0.5246697664260864
Kansl1l,0.42980778,0.19409162,0.16806665,0.3431478,0.8126522,-0.13773112,0.010248851,-0.059520736,-0.084272176,-0.08410697,-0.084738955,-0.09029488,-0.17065844,-0.24999292,-0.2537042,-0.25846952,-0.3428263,-0.22791438,-0.9505995,-1.020089864730835,0.3610202372074127
Rpl37a,-0.70600957,-0.5262576,-0.42254877,-0.2753122,-0.318322,-0.29841524,-0.34189862,-0.2839781,-0.21900348,-0.21731554,-0.24205513,-0.23275085,-0.17351888,-0.075189844,-0.02051057,0.053866453,0.1112949,0.09884191,0.34341568,-0.37750327587127686,-3.1952383518218994
Tns1,0.3348077,0.09449907,0.11713305,1.0178926,-0.96384877,-0.27550268,-0.14015853,-0.240707,-0.2881475,-0.341317,-0.3394125,-0.36392218,-0.39988315,-0.41929394,-0.41716826,-0.4410959,-0.5117833,-0.37069213,-0.95312315,-0.429107666015625,0.8051544427871704
Glb1l,-0.2966013,-0.34701174,-0.32068706,-0.3849066,-0.7754567,-0.57074517,-0.41560674,-0.45906544,-0.45999968,-0.4872676,-0.5293515,-0.53782296,-0.5037669,-0.5843027,-0.65987307,0.8625557,-0.5125827,-0.33182842,-0.97740394,0.43727561831474304,-0.6894842386245728
Farsb,-0.5677607,-0.6369915,-0.60104495,-0.673956,-0.87397766,-0.7218807,-0.66980946,-0.68100286,-0.66594315,-0.6751756,-0.70698225,-0.72782964,-0.6870745,-0.6950563,-0.8320837,0.7725422,-0.4159832,-0.4867803,-0.96264976,0.8359262943267822,-0.8091431856155396
Cul3,0.16648366,-0.097323254,-0.07548678,1.0298578,-0.9548122,-0.36476827,-0.30521607,-0.38962603,-0.4197206,-0.44700533,-0.4668371,-0.49891335,-0.53008044,-0.5471624,-0.55087,-0.57113236,-0.5979712,-0.44707304,-0.9802937,-0.4037269353866577,1.2272707223892212
Dock10,0.7499263,0.6356034,0.59692967,0.4521097,0.5810696,0.41967064,0.59115046,0.4945761,0.41023993,0.4871338,0.497046,0.48186678,0.4110608,0.3764848,0.38359427,0.45729756,0.11949832,0.24546218,-0.9595278,-1.5086182355880737,-0.7940793037414551
Rhbdd1,0.68982977,0.43760425,0.37096268,0.12458508,-0.972647,0.20007847,0.24856809,0.17657281,0.20887259,0.16555871,0.23258881,0.061785802,-0.20510595,-0.35977525,-0.31078637,-0.30684763,-0.37220097,-0.21866135,-0.97374886,-0.37943387031555176,-0.11736476421356201
Gm28940,-0.67559177,-0.7486744,-0.7569835,-0.9603227,-0.992384,-0.9286154,-0.8695894,0.94588876,-0.86966574,-0.97065645,-0.91521746,-0.955406,-0.96188563,-0.96806484,-0.97610563,-0.9818972,-0.98719174,-0.99286574,-0.9982161,1.0245335102081299,0.33238527178764343
Pid1,0.6337335,0.49326998,0.49286038,0.53988284,-0.48694187,0.38687593,0.48147547,0.35173768,0.34339756,0.37954754,0.43357772,0.33562523,0.36661798,0.37047547,0.42708904,0.4752552,0.26943892,0.48196536,-0.85367095,-1.1219861507415771,-1.0125758647918701
Trip12,-0.5728103,-0.52455854,-0.54419374,-0.5243853,-0.517262,-0.52719766,-0.55206555,-0.5201344,-0.5365789,-0.5532019,-0.56989735,-0.5910144,-0.6202604,-0.6484249,-0.6551922,-0.6525977,-0.6872236,-0.72493607,0.99482,0.49094322323799133,-2.6466064453125
Sp110,-0.50796485,-0.5717735,-0.5389038,-0.7054071,1.023032,-0.5313598,-0.5155166,-0.55341035,-0.57786006,-0.5924391,-0.6172573,-0.64319724,-0.66526866,-0.683707,-0.7032064,-0.7262144,-0.6763064,-0.73768514,-0.95526,0.7250149250030518,0.8907921314239502
Psmd1,0.38702506,0.16134405,0.069616325,-0.39091963,-0.9440604,-0.19502003,-0.08475934,-0.095422775,-0.16375783,-0.20805325,-0.116166234,0.42495847,0.13767233,-0.32695842,-0.4490887,-0.45221585,-0.45384407,-0.29015505,-0.9841853,-0.0312558114528656,-0.16370119154453278
Dis3l2,0.5672722,0.2955833,0.09829054,-0.4830578,-0.9483709,0.1437407,0.17399089,0.23678751,-0.20969333,-0.37243497,-0.4320972,-0.5288007,-0.54496646,-0.5336411,-0.50866205,-0.50715524,-0.5512887,-0.34340405,-0.9678611,-0.03966507315635681,0.4376967251300812
Inpp5d,0.6151017,0.4415633,0.3642856,0.22270034,0.86346406,0.25960934,0.32304186,0.24190514,0.20715524,0.22191139,0.2353875,0.1824672,0.108505234,-0.02933985,-0.027678885,-0.027424201,-0.24290471,-0.070881665,-0.953862,-1.505481243133545,-0.2080889195203781
Atg16l1,0.65774983,0.39470357,0.3738705,0.74578804,-0.9108696,0.17900616,0.30810934,0.14731155,0.012561638,-0.19602565,-0.07271485,-0.1795236,-0.2991705,-0.37357265,-0.34550685,-0.34396166,-0.40936655,-0.26727015,-0.95292753,-0.47830328345298767,0.21761026978492737
Gm20528,0.58823514,0.37546563,0.16678298,-0.32351214,-0.98232204,0.019972548,-0.04544776,-0.29017192,-0.4901272,-0.48002505,-0.48235875,-0.53452575,-0.56378716,-0.5719753,-0.5641303,-0.5706703,-0.5983436,-0.38833666,-0.9728671,-0.13172122836112976,0.784615159034729
Cops8,-0.8627495,-0.8528078,-0.7842699,-0.8364184,-0.81972855,-0.8540995,-0.8701833,-0.8598138,-0.86622036,-0.87334025,-0.8787137,-0.8865396,-0.9002131,-0.91478276,-0.9074388,-0.88468146,-0.88600445,-0.8837824,0.9916748,1.4735270738601685,-2.7494678497314453
Mlph,0.68676627,0.38054365,-0.038347453,-0.8588111,-1.0101295,-0.69629776,-0.47756964,-0.4789673,-0.5370549,-0.5891927,-0.6334899,-0.6692946,-0.6995354,-0.7228729,-0.7383006,-0.75159717,-0.7430733,-0.593716,-0.9605468,0.051955968141555786,1.3882861137390137
Lrrfip1,0.67783993,0.424307,0.3515293,0.057271108,-0.9815195,0.1880995,0.23418055,0.18214092,0.21806696,0.16113633,0.17001095,-0.06780435,-0.320629,-0.39893556,-0.337525,-0.32766056,-0.39160597,-0.23417859,-0.9718372,-0.33893847465515137,-0.05932767689228058
5033417F24Rik,-0.8043678,-0.80608225,-0.75951153,-0.8732179,-0.9914866,-0.94888455,-0.9595447,-1.0098735,-1.0147206,-0.984536,-0.8212448,0.99411535,-0.96168476,-0.9672845,-0.94368166,-0.96958536,-0.9752206,-0.9782724,-0.98517853,1.2117453813552856,-0.18906539678573608
Kif1a,-0.23933153,-0.36023778,-0.26059633,-0.5005615,0.7331598,-0.20682172,-0.36819577,-0.37518638,-0.37339765,-0.39066654,-0.41348833,-0.4312262,-0.44484872,-0.4451949,-0.4257639,-0.43937695,-0.5059231,-0.3778379,-0.9675973,0.43133679032325745,0.8273781538009644
Pign,-0.86504096,-0.85797375,-0.7906869,-0.841714,-0.82541215,-0.8606328,-0.87542963,-0.86515826,-0.87134093,-0.87787265,-0.88294905,-0.8905559,-0.9041645,-0.9186126,-0.9110307,-0.88844085,-0.88878286,-0.8853642,0.9974463,1.4927680492401123,-2.73543643951416
Tnfrsf11a,-0.46777797,-0.3960628,-0.38798243,-0.37187064,-0.35339284,-0.36374503,-0.41305655,-0.37296653,-0.39528483,-0.41786402,-0.44209898,-0.4703002,-0.50811774,-0.547667,-0.56936747,-0.58191466,-0.61960334,-0.66046774,0.97385895,0.204880028963089,-2.4244635105133057
Vps4b,0.09745756,-0.18172981,-0.16028267,1.0361683,-0.9426469,-0.4007159,-0.37336624,-0.46073925,-0.486458,-0.5086906,-0.5340812,-0.56549674,-0.59378386,-0.6118422,-0.6220347,-0.6448507,-0.652803,-0.5098797,-0.98309654,-0.4058549404144287,1.4566696882247925
Ccdc93,0.4476955,0.1776976,0.18751097,0.9940247,-0.7314435,-0.12287632,0.024380371,-0.080892384,-0.13898681,-0.23563205,-0.19223876,-0.20812522,-0.26356238,-0.31253195,-0.326227,-0.35869867,-0.43958437,-0.30374968,-0.94516665,-0.5797733068466187,0.49818965792655945
Dpp10,-0.33290476,-0.386154,-0.35552883,-0.40552008,-0.765286,-0.5699691,-0.4360124,-0.47281635,-0.46310395,-0.48505157,-0.5282324,-0.5692934,-0.5510993,-0.50584626,-0.5953345,-0.43384713,0.9106752,-0.45478213,-0.97148913,0.42435047030448914,-0.8367859125137329
Mgat5,0.7734152,0.55098104,0.49836892,0.53062654,0.36685306,0.26624015,0.4529609,0.35861582,0.28182238,0.25375628,0.28611183,0.21895488,0.10869619,-0.059438407,-0.05408725,-0.07020359,-0.2585081,-0.10221101,-0.96404666,-0.9894390106201172,-0.2980007529258728
Rab3gap1,0.09954931,-0.04191737,-0.05286488,-0.013980545,1.0260279,-0.2558455,-0.13740744,-0.2689383,-0.27123308,-0.27617544,-0.28849077,-0.29523516,-0.330976,-0.36214823,-0.362737,-0.37961876,-0.4449244,-0.31192636,-0.9458658,-1.1132129430770874,0.9642876386642456
Cxcr4,-1.1010599,-0.98308724,1.0520352,-1.0453897,-0.987724,-0.9870556,-0.9804538,-0.992534,-1.0093957,-1.0155349,-1.0181457,-1.0206577,-1.0226461,-1.0239334,-1.0251573,-1.0266851,-1.0280474,-1.0281386,-1.0263264,2.2177178859710693,0.8708533048629761
